TX,Date UTC,Price,Marketplace,to addr,std,token,collection
0x6b0ff9eb7ced7e37e950b74fdbc3a9107287b2c4165f1030b39e06ba0dd0603d,2023-06-12 18:16:59,Bought 0.01 ETH ($17.43),OpenSea,0x541ba5...d63Af9A4,ERC-721,Dogemigos #6029,Dogemigos
0x967f6c0276b05c39702f4195affb5ca5f37bf7a2a181fea5204cc0948b59937f,2023-06-11 9:25:35,Bought 0.005 ETH ($8.77),OpenSea,0x197776...E9E93096,ERC-721,Dogemigos #5197,Dogemigos
0x967f6c0276b05c39702f4195affb5ca5f37bf7a2a181fea5204cc0948b59937f,2023-06-11 9:25:35,Bought 0.003 ETH ($5.26),OpenSea,0x197776...E9E93096,ERC-721,Dogemigos #1241,Dogemigos
0x465bccfc8c84f9cf92e8356c37325eb4cb6bde659001a98020e6a8f94aed011d,2023-06-08 4:42:59,Bought 0.003 ETH ($5.54),OpenSea,0xD5214a...693D9320,ERC-721,Dogemigos #5788,Dogemigos
0xe7d4fcbd3a15438edd45aca136bb0057409809566b68cef08230c23fa8c7bf97,2023-06-07 23:27:59,Bought 0 ETH,OpenSea,0xA667B3...5449737d,ERC-721,Dogemigos #5343,Dogemigos
0xe6e4424a0d8e33354da916b5ace0484c95284a57a7f84594c6dd5e39712e4d82,2023-06-06 18:41:59,Bought 0.0035 ETH ($6.60),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #3839,Dogemigos
0x889534bcfce5c17ae2a68bb17870f733e786b481237176d8cc00b8f05854aa7e,2023-06-05 5:49:11,Bought 0.00504 ETH ($9.29),OpenSea,0xA667B3...5449737d,ERC-721,Dogemigos #0276,Dogemigos
0xb5a8b6df247e0d3756c6c4b8f1481b143b90afb8a6430b9c7ca35a0cbc487e89,2023-06-04 18:08:35,Bought 0.0055 ETH ($10.40),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #5697,Dogemigos
0xb5a8b6df247e0d3756c6c4b8f1481b143b90afb8a6430b9c7ca35a0cbc487e89,2023-06-04 18:08:35,Bought 0.0045 ETH ($8.51),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #5429,Dogemigos
0xc052370883fc5e5470cb91215e2cbba22a6b980484b45733eb447649d0c4316a,2023-06-04 18:06:11,Bought 0.017 ETH ($32.14),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #3013,Dogemigos
0xa6c171a2926fb37db3e1f1807ebf87c5afd145e6aac793fb388a03584184fb97,2023-06-04 17:58:35,Bought 0.0144 ETH ($27.22),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #1404,Dogemigos
0x69241bd0ae470f7ad97789649bf732a4c3fc15cb5228df06ed43362d9da62930,2023-06-04 13:26:11,Bought 0.01 ETH ($18.90),OpenSea,0x74b0A4...3a8598EF,ERC-721,Dogemigos #3915,Dogemigos
